shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
6%2FA.gpx,40.6398408,16.6257145,0,
6%2FA.gpx,40.6410666,16.6247391,1,
6%2FA.gpx,40.6413604,16.6245288,2,
6%2FA.gpx,40.6417651,16.6244831,3,
6%2FA.gpx,40.6420889,16.6245044,4,
6%2FA.gpx,40.6422604,16.6244456,5,
6%2FA.gpx,40.6425048,16.624356,6,
6%2FA.gpx,40.6426081,16.6243113,7,
6%2FA.gpx,40.6427363,16.6242559,8,
6%2FA.gpx,40.6429927,16.6242346,9,
6%2FA.gpx,40.6432498,16.6242128,10,
6%2FA.gpx,40.6440331,16.6241481,11,
6%2FA.gpx,40.6444812,16.6241245,12,
6%2FA.gpx,40.6446464,16.6241158,13,
6%2FA.gpx,40.6452368,16.6237494,14,
6%2FA.gpx,40.6453221,16.6236709,15,
6%2FA.gpx,40.6454019,16.6236007,16,
6%2FA.gpx,40.6454938,16.6235173,17,
6%2FA.gpx,40.6455491,16.6234671,18,
6%2FA.gpx,40.646303,16.6232084,19,
6%2FA.gpx,40.6467805,16.6230382,20,
6%2FA.gpx,40.6470358,16.6224043,21,
6%2FA.gpx,40.6472757,16.6219088,22,
6%2FA.gpx,40.6474263,16.6215818,23,
6%2FA.gpx,40.6480862,16.6201919,24,
6%2FA.gpx,40.6481712,16.6200089,25,
6%2FA.gpx,40.6487365,16.6199662,26,
6%2FA.gpx,40.6487967,16.6199617,27,
6%2FA.gpx,40.6488199,16.6199599,28,
6%2FA.gpx,40.6495738,16.6199002,29,
6%2FA.gpx,40.6496797,16.6199221,30,
6%2FA.gpx,40.6497189,16.6201691,31,
6%2FA.gpx,40.6497723,16.6204368,32,
6%2FA.gpx,40.6497839,16.6204861,33,
6%2FA.gpx,40.6497938,16.6205371,34,
6%2FA.gpx,40.6498219,16.6205949,35,
6%2FA.gpx,40.6498644,16.6206825,36,
6%2FA.gpx,40.6499051,16.6207195,37,
6%2FA.gpx,40.6503476,16.620118,38,
6%2FA.gpx,40.650717,16.6196792,39,
6%2FA.gpx,40.6512599,16.6192826,40,
6%2FA.gpx,40.651656,16.6190289,41,
6%2FA.gpx,40.6519499,16.6188407,42,
6%2FA.gpx,40.6522953,16.6186381,43,
6%2FA.gpx,40.6523837,16.6185884,44,
6%2FA.gpx,40.6524905,16.6185335,45,
6%2FA.gpx,40.6525809,16.618485,46,
6%2FA.gpx,40.6532264,16.618139,47,
6%2FA.gpx,40.6535229,16.6180063,48,
6%2FA.gpx,40.6537103,16.6179503,49,
6%2FA.gpx,40.6537406,16.617939,50,
6%2FA.gpx,40.6540729,16.6178544,51,
6%2FA.gpx,40.6541384,16.6177958,52,
6%2FA.gpx,40.6541872,16.6177603,53,
6%2FA.gpx,40.6542953,16.6176817,54,
6%2FA.gpx,40.6543441,16.6176462,55,
6%2FA.gpx,40.6553679,16.6169022,56,
6%2FA.gpx,40.6554393,16.6168319,57,
6%2FA.gpx,40.655561,16.6167474,58,
6%2FA.gpx,40.655697,16.6166448,59,
6%2FA.gpx,40.6558619,16.6165204,60,
6%2FA.gpx,40.6563462,16.6161623,61,
6%2FA.gpx,40.656445,16.6161244,62,
6%2FA.gpx,40.6566081,16.6160143,63,
6%2FA.gpx,40.6567883,16.6158804,64,
6%2FA.gpx,40.6569447,16.615791,65,
6%2FA.gpx,40.6571232,16.6157181,66,
6%2FA.gpx,40.6571764,16.6156934,67,
6%2FA.gpx,40.6575827,16.6156706,68,
6%2FA.gpx,40.6579004,16.6156416,69,
6%2FA.gpx,40.6581155,16.615543,70,
6%2FA.gpx,40.658359,16.6153936,71,
6%2FA.gpx,40.6585418,16.6152719,72,
6%2FA.gpx,40.6586693,16.615173,73,
6%2FA.gpx,40.6588736,16.614932,74,
6%2FA.gpx,40.6591067,16.6146026,75,
6%2FA.gpx,40.6591383,16.6145572,76,
6%2FA.gpx,40.6594919,16.6140489,77,
6%2FA.gpx,40.6599383,16.6132077,78,
6%2FA.gpx,40.6601252,16.6128601,79,
6%2FA.gpx,40.6602973,16.6124796,80,
6%2FA.gpx,40.660326,16.6124142,81,
6%2FA.gpx,40.6604266,16.6121854,82,
6%2FA.gpx,40.6607245,16.6115074,83,
6%2FA.gpx,40.6607448,16.6114612,84,
6%2FA.gpx,40.6609683,16.6110087,85,
6%2FA.gpx,40.6609931,16.6109607,86,
6%2FA.gpx,40.6612412,16.610481,87,
6%2FA.gpx,40.6612895,16.6104266,88,
6%2FA.gpx,40.6613643,16.6103424,89,
6%2FA.gpx,40.6617381,16.6099593,90,
6%2FA.gpx,40.6618593,16.6098023,91,
6%2FA.gpx,40.6619377,16.6097007,92,
6%2FA.gpx,40.6622482,16.6092982,93,
6%2FA.gpx,40.6625433,16.6089935,94,
6%2FA.gpx,40.6626473,16.6088715,95,
6%2FA.gpx,40.6628109,16.6087275,96,
6%2FA.gpx,40.6633176,16.6083549,97,
6%2FA.gpx,40.6635111,16.6082056,98,
6%2FA.gpx,40.6637528,16.6080192,99,
6%2FA.gpx,40.6638404,16.607974,100,
6%2FA.gpx,40.6640803,16.6078499,101,
6%2FA.gpx,40.664121,16.6078289,102,
6%2FA.gpx,40.6643093,16.6077332,103,
6%2FA.gpx,40.664753,16.6075077,104,
6%2FA.gpx,40.6648102,16.6074814,105,
6%2FA.gpx,40.6649089,16.6073552,106,
6%2FA.gpx,40.6649725,16.6072449,107,
6%2FA.gpx,40.6651784,16.6066839,108,
6%2FA.gpx,40.665435,16.6059862,109,
6%2FA.gpx,40.6654625,16.6059119,110,
6%2FA.gpx,40.6654831,16.605875,111,
6%2FA.gpx,40.6658379,16.6052716,112,
6%2FA.gpx,40.6658917,16.6051825,113,
6%2FA.gpx,40.6661931,16.6046838,114,
6%2FA.gpx,40.6663155,16.6044659,115,
6%2FA.gpx,40.6663609,16.604385,116,
6%2FA.gpx,40.6664481,16.6044271,117,
6%2FA.gpx,40.6665298,16.6044543,118,
6%2FA.gpx,40.6666022,16.6044558,119,
6%2FA.gpx,40.6671419,16.6044391,120,
6%2FA.gpx,40.6671923,16.6044472,121,
6%2FA.gpx,40.6673039,16.6044696,122,
6%2FA.gpx,40.6673948,16.604515,123,
6%2FA.gpx,40.6675432,16.604692,124,
6%2FA.gpx,40.6678115,16.6050666,125,
6%2FA.gpx,40.6678336,16.6050981,126,
6%2FA.gpx,40.6679126,16.6052106,127,
6%2FA.gpx,40.6680789,16.6054469,128,
6%2FA.gpx,40.6681873,16.6055829,129,
6%2FA.gpx,40.6684118,16.6058845,130,
6%2FA.gpx,40.6684322,16.6059107,131,
6%2FA.gpx,40.6685484,16.6060539,132,
6%2FA.gpx,40.6686149,16.6061126,133,
6%2FA.gpx,40.6687068,16.6061495,134,
6%2FA.gpx,40.6688097,16.6061785,135,
6%2FA.gpx,40.6692796,16.6062343,136,
6%2FA.gpx,40.6696438,16.6062843,137,
6%2FA.gpx,40.6700015,16.6063608,138,
6%2FA.gpx,40.6700706,16.6063571,139,
6%2FA.gpx,40.670158,16.606328,140,
6%2FA.gpx,40.6702231,16.6062944,141,
6%2FA.gpx,40.6702663,16.6062481,142,
6%2FA.gpx,40.6702936,16.6062106,143,
6%2FA.gpx,40.6703404,16.6061489,144,
6%2FA.gpx,40.6704372,16.6060217,145,
6%2FA.gpx,40.6704646,16.6059172,146,
6%2FA.gpx,40.6706186,16.6057588,147,
6%2FA.gpx,40.6706809,16.6056899,148,
6%2FA.gpx,40.6711289,16.6051942,149,
6%2FA.gpx,40.6714152,16.6048325,150,
6%2FA.gpx,40.6715518,16.6046009,151,
6%2FA.gpx,40.6716781,16.6043195,152,
6%2FA.gpx,40.6717942,16.604022,153,
6%2FA.gpx,40.6718447,16.6038964,154,
6%2FA.gpx,40.6720259,16.6034455,155,
6%2FA.gpx,40.6722038,16.6030424,156,
6%2FA.gpx,40.6723417,16.6027113,157,
6%2FA.gpx,40.6725797,16.6020735,158,
6%2FA.gpx,40.6726183,16.6019683,159,
6%2FA.gpx,40.6726388,16.601915,160,
6%2FA.gpx,40.672664,16.6018673,161,
6%2FA.gpx,40.6727461,16.6017119,162,
6%2FA.gpx,40.6727804,16.6016364,163,
6%2FA.gpx,40.6731028,16.6009278,164,
