service_id,date,exception_type
0000000022013091120140611,20140421,2
0000000022013091120140611,20140425,2
0000000022013091120140611,20140426,2
0000000022013091120140611,20140501,2
0000000022013091120140611,20140602,2
0000000022013101420140611,20140421,2
0000000022013101420140611,20140425,2
0000000022013101420140611,20140426,2
0000000022013101420140611,20140501,2
0000000022013101420140611,20140602,2
0000000022013110420140611,20140421,2
0000000022013110420140611,20140425,2
0000000022013110420140611,20140426,2
0000000022013110420140611,20140501,2
0000000022013110420140611,20140602,2
0000000022013110720140611,20140421,2
0000000022013110720140611,20140425,2
0000000022013110720140611,20140426,2
0000000022013110720140611,20140501,2
0000000022013110720140611,20140602,2
0000000022014012020140611,20140421,2
0000000022014012020140611,20140425,2
0000000022014012020140611,20140426,2
0000000022014012020140611,20140501,2
0000000022014012020140611,20140602,2
0000000032013091120140611,20140204,1
0000000032013091120140611,20140205,1
0000000032013091120140611,20140206,1
0000000032013091120140611,20140207,1
0000000032013091120140611,20140208,1
0000000032013091120140611,20140210,1
0000000032013091120140611,20140211,1
0000000032013091120140611,20140212,1
0000000032013091120140611,20140213,1
0000000032013091120140611,20140214,1
0000000032013091120140611,20140215,1
0000000032013091120140611,20140217,1
0000000032013091120140611,20140218,1
0000000032013091120140611,20140219,1
0000000032013091120140611,20140220,1
0000000032013091120140611,20140221,1
0000000032013091120140611,20140222,1
0000000032013091120140611,20140224,1
0000000032013091120140611,20140225,1
0000000032013091120140611,20140226,1
0000000032013091120140611,20140227,1
0000000032013091120140611,20140228,1
0000000032013091120140611,20140301,1
0000000032013091120140611,20140303,2
0000000032013091120140611,20140304,2
0000000032013091120140611,20140305,1
0000000032013091120140611,20140306,1
0000000032013091120140611,20140307,1
0000000032013091120140611,20140308,1
0000000032013091120140611,20140310,1
0000000032013091120140611,20140311,1
0000000032013091120140611,20140312,1
0000000032013091120140611,20140313,1
0000000032013091120140611,20140314,1
0000000032013091120140611,20140315,1
0000000032013091120140611,20140317,1
0000000032013091120140611,20140318,1
0000000032013091120140611,20140319,1
0000000032013091120140611,20140320,1
0000000032013091120140611,20140321,1
0000000032013091120140611,20140322,1
0000000032013091120140611,20140324,1
0000000032013091120140611,20140325,1
0000000032013091120140611,20140326,1
0000000032013091120140611,20140327,1
0000000032013091120140611,20140328,1
0000000032013091120140611,20140329,1
0000000032013091120140611,20140331,1
0000000032013091120140611,20140401,1
0000000032013091120140611,20140402,1
0000000032013091120140611,20140403,1
0000000032013091120140611,20140404,1
0000000032013091120140611,20140405,1
0000000032013091120140611,20140407,1
0000000032013091120140611,20140408,1
0000000032013091120140611,20140409,1
0000000032013091120140611,20140410,1
0000000032013091120140611,20140411,1
0000000032013091120140611,20140412,1
0000000032013091120140611,20140414,1
0000000032013091120140611,20140415,1
0000000032013091120140611,20140416,1
0000000032013091120140611,20140417,2
0000000032013091120140611,20140418,2
0000000032013091120140611,20140419,2
0000000032013091120140611,20140421,2
0000000032013091120140611,20140422,2
0000000032013091120140611,20140423,2
0000000032013091120140611,20140424,2
0000000032013091120140611,20140425,2
0000000032013091120140611,20140426,2
0000000032013091120140611,20140428,1
0000000032013091120140611,20140429,1
0000000032013091120140611,20140430,1
0000000032013091120140611,20140501,2
0000000032013091120140611,20140502,1
0000000032013091120140611,20140503,1
0000000032013091120140611,20140505,1
0000000032013091120140611,20140506,1
0000000032013091120140611,20140507,1
0000000032013091120140611,20140508,1
0000000032013091120140611,20140509,1
0000000032013091120140611,20140510,1
0000000032013091120140611,20140512,1
0000000032013091120140611,20140513,1
0000000032013091120140611,20140514,1
0000000032013091120140611,20140515,1
0000000032013091120140611,20140516,1
0000000032013091120140611,20140517,1
0000000032013091120140611,20140519,1
0000000032013091120140611,20140520,1
0000000032013091120140611,20140521,1
0000000032013091120140611,20140522,1
0000000032013091120140611,20140523,1
0000000032013091120140611,20140524,1
0000000032013091120140611,20140526,1
0000000032013091120140611,20140527,1
0000000032013091120140611,20140528,1
0000000032013091120140611,20140529,1
0000000032013091120140611,20140530,1
0000000032013091120140611,20140531,1
0000000032013091120140611,20140602,2
0000000032013091120140611,20140603,1
0000000032013091120140611,20140604,1
0000000032013091120140611,20140605,1
0000000032013091120140611,20140606,1
0000000032013091120140611,20140607,1
0000000032013091120140611,20140609,1
0000000032013091120140611,20140610,1
0000000032013091120140611,20140611,1
0000000032013091820140611,20140204,1
0000000032013091820140611,20140205,1
0000000032013091820140611,20140206,1
0000000032013091820140611,20140207,1
0000000032013091820140611,20140208,1
0000000032013091820140611,20140210,1
0000000032013091820140611,20140211,1
0000000032013091820140611,20140212,1
0000000032013091820140611,20140213,1
0000000032013091820140611,20140214,1
0000000032013091820140611,20140215,1
0000000032013091820140611,20140217,1
0000000032013091820140611,20140218,1
0000000032013091820140611,20140219,1
0000000032013091820140611,20140220,1
0000000032013091820140611,20140221,1
0000000032013091820140611,20140222,1
0000000032013091820140611,20140224,1
0000000032013091820140611,20140225,1
0000000032013091820140611,20140226,1
0000000032013091820140611,20140227,1
0000000032013091820140611,20140228,1
0000000032013091820140611,20140301,1
0000000032013091820140611,20140303,2
0000000032013091820140611,20140304,2
0000000032013091820140611,20140305,1
0000000032013091820140611,20140306,1
0000000032013091820140611,20140307,1
0000000032013091820140611,20140308,1
0000000032013091820140611,20140310,1
0000000032013091820140611,20140311,1
0000000032013091820140611,20140312,1
0000000032013091820140611,20140313,1
0000000032013091820140611,20140314,1
0000000032013091820140611,20140315,1
0000000032013091820140611,20140317,1
0000000032013091820140611,20140318,1
0000000032013091820140611,20140319,1
0000000032013091820140611,20140320,1
0000000032013091820140611,20140321,1
0000000032013091820140611,20140322,1
0000000032013091820140611,20140324,1
0000000032013091820140611,20140325,1
0000000032013091820140611,20140326,1
0000000032013091820140611,20140327,1
0000000032013091820140611,20140328,1
0000000032013091820140611,20140329,1
0000000032013091820140611,20140331,1
0000000032013091820140611,20140401,1
0000000032013091820140611,20140402,1
0000000032013091820140611,20140403,1
0000000032013091820140611,20140404,1
0000000032013091820140611,20140405,1
0000000032013091820140611,20140407,1
0000000032013091820140611,20140408,1
0000000032013091820140611,20140409,1
0000000032013091820140611,20140410,1
0000000032013091820140611,20140411,1
0000000032013091820140611,20140412,1
0000000032013091820140611,20140414,1
0000000032013091820140611,20140415,1
0000000032013091820140611,20140416,1
0000000032013091820140611,20140417,2
0000000032013091820140611,20140418,2
0000000032013091820140611,20140419,2
0000000032013091820140611,20140421,2
0000000032013091820140611,20140422,2
0000000032013091820140611,20140423,2
0000000032013091820140611,20140424,2
0000000032013091820140611,20140425,2
0000000032013091820140611,20140426,2
0000000032013091820140611,20140428,1
0000000032013091820140611,20140429,1
0000000032013091820140611,20140430,1
0000000032013091820140611,20140501,2
0000000032013091820140611,20140502,1
0000000032013091820140611,20140503,1
0000000032013091820140611,20140505,1
0000000032013091820140611,20140506,1
0000000032013091820140611,20140507,1
0000000032013091820140611,20140508,1
0000000032013091820140611,20140509,1
0000000032013091820140611,20140510,1
0000000032013091820140611,20140512,1
0000000032013091820140611,20140513,1
0000000032013091820140611,20140514,1
0000000032013091820140611,20140515,1
0000000032013091820140611,20140516,1
0000000032013091820140611,20140517,1
0000000032013091820140611,20140519,1
0000000032013091820140611,20140520,1
0000000032013091820140611,20140521,1
0000000032013091820140611,20140522,1
0000000032013091820140611,20140523,1
0000000032013091820140611,20140524,1
0000000032013091820140611,20140526,1
0000000032013091820140611,20140527,1
0000000032013091820140611,20140528,1
0000000032013091820140611,20140529,1
0000000032013091820140611,20140530,1
0000000032013091820140611,20140531,1
0000000032013091820140611,20140602,2
0000000032013091820140611,20140603,1
0000000032013091820140611,20140604,1
0000000032013091820140611,20140605,1
0000000032013091820140611,20140606,1
0000000032013091820140611,20140607,1
0000000032013091820140611,20140609,1
0000000032013091820140611,20140610,1
0000000032013091820140611,20140611,1
0000000032013110420140611,20140204,1
0000000032013110420140611,20140205,1
0000000032013110420140611,20140206,1
0000000032013110420140611,20140207,1
0000000032013110420140611,20140208,1
0000000032013110420140611,20140210,1
0000000032013110420140611,20140211,1
0000000032013110420140611,20140212,1
0000000032013110420140611,20140213,1
0000000032013110420140611,20140214,1
0000000032013110420140611,20140215,1
0000000032013110420140611,20140217,1
0000000032013110420140611,20140218,1
0000000032013110420140611,20140219,1
0000000032013110420140611,20140220,1
0000000032013110420140611,20140221,1
0000000032013110420140611,20140222,1
0000000032013110420140611,20140224,1
0000000032013110420140611,20140225,1
