stop_id,stop_name,stop_lat,stop_lon,stop_timezone
pv0101,MONTEMAINO ex dazio,45.2218997,9.177815,Europe/Rome
pv0102,MONTEMAINO Pizzocaro,45.2218204,9.1735029,Europe/Rome
pv0103,MONTEMAINO,45.2210042,9.1699946,Europe/Rome
pv0104,SAN BERNARDO,45.2209211,9.1664111,Europe/Rome
pv0105,MIRABELLO Scuole,45.2184574,9.165821,Europe/Rome
pv0106,MIRABELLO Rampoldi,45.2164887,9.165129,Europe/Rome
pv0107,MIRABELLO Rizza,45.2146748,9.1643887,Europe/Rome
pv0108,MIRABELLO civ.22,45.2124678,9.1636914,Europe/Rome
pv0112,OLEVANO Briosco,45.2107672,9.1630315,Europe/Rome
pv0113,OLEVANO Cerise,45.2056423,9.1613096,Europe/Rome
pv0114,OLEVANO Case Nuove Canonici,45.2035786,9.1606497,Europe/Rome
pv0115,OLEVANO Spelta,45.2014808,9.1599363,Europe/Rome
pv0116,OLEVANO Guido da Vigevano,45.1996967,9.1592872,Europe/Rome
pv0117,SAN GIUSEPPE,45.1975194,9.1586488,Europe/Rome
pv0118,LUDOVICO IL MORO Cattaneo,45.1947183,9.1597539,Europe/Rome
pv0119,LUDOVICO IL MORO Marconi,45.1937279,9.1620553,Europe/Rome
pv0120,LUDOVICO IL MORO Tasso,45.1925975,9.1640293,Europe/Rome
pv0121,TASSO Alzaia,45.1912403,9.1631978,Europe/Rome
pv0122,CAIROLI E.Filiberto,45.189505,9.1613203,Europe/Rome
pv0123,CASTELLO,45.1895258,9.1571924,Europe/Rome
pv0124,ITALIA,45.1874994,9.1559962,Europe/Rome
pv0125,STRADA NUOVA Demetrio,45.185539,9.1552157,Europe/Rome
pv0126,STRADA NUOVA Cardano,45.1834353,9.1542999,Europe/Rome
pv0127,STRADA NUOVA Ponte Coperto,45.1822987,9.1537727,Europe/Rome
pv0128,GHINAGLIA,45.1798106,9.1524851,Europe/Rome
pv0129,DEI MILLE Beretta,45.1775682,9.1503232,Europe/Rome
pv0130,DEI MILLE Strada Persa,45.1749312,9.1486944,Europe/Rome
pv0131,DEI MILLE Gravellone,45.171892,9.1458869,Europe/Rome
pv0133,BRAMANTE Parcheggio,45.1679323,9.1421747,Europe/Rome
pv0134,San Martino GRAVELLONE,45.1641444,9.1393074,Europe/Rome
pv0135,San Martino PIEMONTE,45.1636735,9.1371804,Europe/Rome
pv0136,San Martino ROMA civ.125,45.1619842,9.1382964,Europe/Rome
pv0137,San Martino ROMA civ.61,45.159484,9.1370841,Europe/Rome
pv0138,San Martino ROMA Comune,45.1566299,9.1344474,Europe/Rome
pv0143,San Martino GRAVELLONE,45.165368,9.140222,Europe/Rome
pv0144,BRAMANTE Parcheggio,45.1682689,9.1426199,Europe/Rome
pv0145,BIVIO GRAVELLONE Dei Mille,45.1703566,9.144358,Europe/Rome
pv0146,DEI MILLE Vanzini,45.1718239,9.1459727,Europe/Rome
pv0147,DEI MILLE Pasino,45.1750906,9.148954,Europe/Rome
pv0148,GHINAGLIA,45.1795703,9.1524515,Europe/Rome
pv0149,STRADA NUOVA Ponte Coperto,45.1822036,9.1538286,Europe/Rome
pv0150,STRADA NUOVA Garibaldi,45.1834935,9.1544431,Europe/Rome
pv0151,STRADA NUOVA Demetrio,45.1856883,9.1554114,Europe/Rome
pv0152,ITALIA,45.1876997,9.1562241,Europe/Rome
pv0153,CASTELLO,45.1891779,9.1576596,Europe/Rome
pv0154,EMANUELE FILIBERTO,45.1898076,9.1618998,Europe/Rome
pv0155,TASSO Colesino,45.1916826,9.1643673,Europe/Rome
pv0156,LUDOVICO IL MORO Albani,45.1925786,9.1641688,Europe/Rome
pv0157,LUDOVICO IL MORO Marconi,45.1936334,9.1624202,Europe/Rome
pv0158,SCARAMUZZA Ludovico il Moro,45.1953685,9.159325,Europe/Rome
pv0159,SCARAMUZZA San Giuseppe,45.1969637,9.1588634,Europe/Rome
pv0160,OLEVANO Rossi,45.1993754,9.1593086,Europe/Rome
pv0161,OLEVANO Caduti del Lavoro,45.2017719,9.1601401,Europe/Rome
pv0162,OLEVANO Andreoli,45.203537,9.1607839,Europe/Rome
pv0163,OLEVANO Cerise,45.2058124,9.1614759,Europe/Rome
pv0164,OLEVANO Scala,45.2114928,9.1634446,Europe/Rome
