service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
0000000012013091120140611,1,1,1,1,1,1,1,20130911,20140611
0000000022013091120140611,1,1,1,1,1,1,0,20130911,20140611
0000000022013101420140611,1,1,1,1,1,1,0,20131014,20140611
0000000022013110420140611,1,1,1,1,1,1,0,20131104,20140611
0000000022013110720140611,1,1,1,1,1,1,0,20131107,20140611
0000000022014012020140611,1,1,1,1,1,1,0,20140120,20140611
0000000032013091120140611,1,1,1,1,1,1,0,20130911,20140611
0000000032013091820140611,1,1,1,1,1,1,0,20130918,20140611
0000000032013110420140611,1,1,1,1,1,1,0,20131104,20140611
0000000032013110720140611,1,1,1,1,1,1,0,20131107,20140611
0000000052013091120140611,0,0,0,0,0,0,1,20130911,20140611
0000000092013091120140611,1,1,1,1,1,0,0,20130911,20140611
0000000092013110420140611,1,1,1,1,1,0,0,20131104,20140611
0000000092013110720140611,1,1,1,1,1,0,0,20131107,20140611
0000000092013111420140611,1,1,1,1,1,0,0,20131114,20140611
0000000092014012020140611,1,1,1,1,1,0,0,20140120,20140611
0000000102013091120140611,1,1,1,1,1,0,0,20130911,20140611
0000000102013110420140611,1,1,1,1,1,0,0,20131104,20140611
0000000102013120220140611,1,1,1,1,1,0,0,20131202,20140611
0000000252013091120140611,0,0,0,0,0,1,0,20130911,20140611
0000000252014012020140611,0,0,0,0,0,1,0,20140120,20140611
0000000592013091120140611,1,1,1,1,1,1,0,20130911,20140611
0000000592013092120140611,1,1,1,1,1,1,0,20130921,20140611
0000000592013093020140611,1,1,1,1,1,1,0,20130930,20140611
0000000592013111120140611,1,1,1,1,1,1,0,20131111,20140611
0000000592014021720140611,1,1,1,1,1,1,0,20140217,20140611
0000000602013091120140611,1,1,1,1,1,1,0,20130911,20140611
0000000602014021720140611,1,1,1,1,1,1,0,20140217,20140611
0000000622013091120140611,0,0,0,0,0,0,1,20130911,20140611
0000000622014021720140611,0,0,0,0,0,0,1,20140217,20140611
0000000662013091120140611,1,1,1,1,1,0,0,20130911,20140611
0000000662013093020140611,1,1,1,1,1,0,0,20130930,20140611
0000000662013101520140611,1,1,1,1,1,0,0,20131015,20140611
0000000662013111120140611,1,1,1,1,1,0,0,20131111,20140611
0000000662014021720140611,1,1,1,1,1,0,0,20140217,20140611
0000000672013091120140611,1,1,1,1,1,0,0,20130911,20140611
0000000672013111120140611,1,1,1,1,1,0,0,20131111,20140611
0000000672014021720140611,1,1,1,1,1,0,0,20140217,20140611
0000000772013091120140611,0,0,0,0,0,1,0,20130911,20140611
0000000822013091120140611,0,0,0,0,0,1,0,20130911,20140611
0000000822013092120140611,0,0,0,0,0,1,0,20130921,20140611
0000000822013093020140611,0,0,0,0,0,1,0,20130930,20140611
0000000822014021720140611,0,0,0,0,0,1,0,20140217,20140611
0000001092013091120140611,1,1,1,1,1,1,0,20130911,20140611
