stop_id,stop_name,stop_desc,stop_lat,stop_lon
1,Baselga Del Bondone,,46.078317,11.046924
2,Baselga Del Bondone,,46.078581,11.047541
3,Belvedere,,46.044406,11.105342
4,Lamar Ponte Avisio,,46.134620,11.110914
5,Sp 85 Bivio Sopramonte,,46.085226,11.069313
7,Maso Bolleri,,46.102485,11.124174
8,Maso Bolleri,,46.102234,11.123940
9,Borino,,46.067367,11.165050
10,Cadine Strada Gardesana,,46.088630,11.065018
11,Cadine Strada Gardesana,,46.088729,11.064509
12,Canova Paludi,,46.099170,11.109314
13,Gardolo "Materna Paludi",,46.103846,11.108235
14,Centro Commerciale,,46.091584,11.105652
15,Asiago S.Bartolameo,,46.047972,11.137456
16,Asiago Banala,,46.047681,11.137741
17,Cognola "Toresela",,46.078904,11.153473
18,Cognola "Toresela",,46.078863,11.153929
19,Cognola Bivio Civezzano,,46.080613,11.158419
20,Cognola Bivio Civezzano,,46.080472,11.158403
21,Cognola "Centro Civico",,46.076472,11.141513
22,Cognola Grezoni,,46.075911,11.146833
23,Cognola Grezoni,,46.076012,11.146613
24,San Vito,,46.075332,11.139033
25,Cognola S.Vito,,46.075696,11.140797
26,Cognola S.Vito,,46.075623,11.141786
27,San Vito,,46.075433,11.138833
28,Cognola "Scuole",,46.075698,11.143991
29,Cognola "Scuole",,46.075853,11.144062
30,Cognola Alla Veduta "Roza",,46.077564,11.151102
31,Cognola Alla Veduta "Roza",,46.078007,11.151432
32,Brescia "Villa Salvotti",,46.076123,11.101184
37,Degli Alpini Oberziner,,46.078759,11.118392
38,Cortesano,,46.124481,11.133818
39,Vigo Meano Alle Gorghe,,46.129889,11.134571
40,Vigo Meano Alle Gorghe,,46.129522,11.134680
43,"Forte Bus De Vela",,46.084969,11.070113
46,Gabbiolo "Campo Sportivo",,46.055265,11.148982
47,Gabbiolo "Campo Sportivo",,46.055310,11.148782
48,Sp 76 Carpenedi,,46.117195,11.108678
49,Sp 76 Carpenedi,,46.117171,11.108438
50,Gardolo S.Anna,,46.111144,11.109544
51,Gardolo S.Anna,,46.110834,11.109573
52,Gardolo P.Le Neufahrn Sud,,46.106559,11.111466
53,Gardolo P.Le Neufahrn Nord,,46.106678,11.111444
54,Gardolo Piazza Libertà,,46.108340,11.111719
55,Gardolo Piazza Chiesa,,46.108506,11.111436
56,Canova Aichner,,46.101856,11.103284
57,Canova Via Della Canova,,46.099689,11.107570
58,Gardolo Don Milani 8 Marzo,,46.103934,11.117583
59,Gardolo Don Milani "Piscina",,46.106686,11.114327
60,Gardolo Don Milani "Piscina",,46.106749,11.114389
61,Gardolo Don Milani 8 Marzo,,46.104204,11.117281
62,Gardolo S.Anna Carpenedi,,46.113805,11.107364
63,Gardolo S.Anna Carpenedi,,46.113682,11.107300
64,Gardolo Soprasasso,,46.106227,11.109072
65,Gazzadina Strada Vecchia,,46.130109,11.126043
66,Gazzadina Al Pontat,,46.128445,11.129219
67,Gazzadina Al Pontat,,46.128599,11.129270
68,Gazzadina Strada Vecchia,,46.130190,11.125945
69,Grotta Piazza,,46.045800,11.151130
70,Grotta Bindesi,,46.043392,11.151716
71,Grotta Bindesi,,46.043502,11.151592
72,Ss 12 "Zona Ind.Le Ftm",,46.119309,11.106123
73,Lamar "Ftm",,46.125715,11.107713
74,Lamar "Ftm",,46.125960,11.107593
75,Lamar "Sottostazione Enel",,46.129241,11.109763
76,Largo Sauro,,46.074848,11.124976
77,Lavis "Stazione Ftm",,46.138664,11.108989
78,Lavis Piazza Mercato,,46.137921,11.114458
79,Lavis "Municipio",,46.139321,11.111958
80,Lavis Rosmini Segantini,,46.142197,11.108508
81,Lavis Cembra,,46.143164,11.106402
85,Centochiavi Dalla Fior,,46.094611,11.120675
86,Centochiavi Chiocchetti,,46.093993,11.120699
87,Melta "Case Itea",,46.102271,11.118109
88,"Parco di Melta",,46.097274,11.119767
89,Melta Centro,,46.099443,11.119089
