route_id,service_id,trip_id,trip_headsign,direction_id
417,0000000022013091120140611,0002295022013091120140611,Lavis Rosmini Segantini,1
417,0000000032013091120140611,0002295032013091120140611,Lavis Rosmini Segantini,1
398,0000000022013091120140611,0002295042013091120140611,Bettini "Madonna Bianca",0
398,0000000022013091120140611,0002295052013091120140611,Bettini "Madonna Bianca",0
400,0000000022013091120140611,0002295062013091120140611,Oltrecastello,0
400,0000000022013091120140611,0002295072013091120140611,Oltrecastello,0
400,0000000022013091120140611,0002295082013091120140611,Oltrecastello,0
406,0000000022013091120140611,0002295092013091120140611,Villamontagna P.Predaroi,0
406,0000000022013091120140611,0002295102013091120140611,Villamontagna P.Predaroi,0
406,0000000022013091120140611,0002295112013091120140611,Piazza Dante Dogana,1
395,0000000102013091120140611,0002295122013091120140611,Gazzoletti Piazza Dante,0
398,0000000102013091120140611,0002295132013091120140611,Piazza Dante "Pal. Regione",1
398,0000000032013091120140611,0002295142013091120140611,Piazza Dante "Pal. Regione",1
398,0000000102013091120140611,0002295152013091120140611,Bettini "Madonna Bianca",0
406,0000000032013091120140611,0002295162013091120140611,Villamontagna P.Predaroi,0
400,0000000022013091120140611,0002295172013091120140611,Oltrecastello,0
406,0000000032013091120140611,0002295182013091120140611,Piazza Dante Dogana,1
398,0000000022013091120140611,0002295192013091120140611,Piazza Dante "Pal. Regione",1
404,0000000032013091120140611,0002295202013091120140611,Fermi La Clarina,0
398,0000000092013091120140611,0002295212013091120140611,Piazza Dante "Pal. Regione",1
408,0000000102013091120140611,0002295222013091120140611,Piazza Dante Dogana,1
400,0000000022013091120140611,0002295232013091120140611,Piazza Dante Dogana,1
400,0000000022013091120140611,0002295242013091120140611,Oltrecastello,0
400,0000000022013091120140611,0002295252013091120140611,Piazza Dante Dogana,1
398,0000000022013091120140611,0002295262013091120140611,Bettini "Madonna Bianca",0
395,0000000092013091120140611,0002295272013091120140611,Vela Centro,0
395,0000000022013091120140611,0002295282013091120140611,Vela Centro,0
417,0000000032013091120140611,0002295302013091120140611,Piazza Dante Dogana,0
398,0000000102013091120140611,0002295312013091120140611,Verona Menguzzato,0
398,0000000032013091120140611,0002295322013091120140611,Piazza Dante "Pal. Regione",1
402,0000000092013091120140611,0002295332013091120140611,Gardolo P.Le Neufahrn Sud,0
395,0000000092013091120140611,0002296192013091120140611,Vela Centro,0
395,0000000022013091120140611,0002296202013091120140611,Vela Centro,0
395,0000000092013091120140611,0002296212013091120140611,Vela Centro,0
396,0000000022013091120140611,0002296242013091120140611,Conci "Villazzano 3",0
396,0000000022013091120140611,0002297342013091120140611,Conci "Villazzano 3",0
396,0000000022013091120140611,0002297352013091120140611,Conci "Villazzano 3",0
396,0000000022013091120140611,0002297362013091120140611,Conci "Villazzano 3",0
396,0000000022013091120140611,0002297372013091120140611,Conci "Villazzano 3",0
404,0000000032013091120140611,0002297382013091120140611,Fermi La Clarina,0
396,0000000032013091120140611,0002297392013091120140611,Travai Piazza Fiera,0
398,0000000022013091120140611,0002297402013091120140611,Bettini "Madonna Bianca",0
398,0000000022013091120140611,0002297412013091120140611,Bettini "Madonna Bianca",0
398,0000000022013091120140611,0002297422013091120140611,Bettini "Madonna Bianca",0
398,0000000022013091120140611,0002297432013091120140611,Bettini "Madonna Bianca",0
398,0000000022013091120140611,0002297442013091120140611,Bettini "Madonna Bianca",0
398,0000000022013091120140611,0002297452013091120140611,Bettini "Madonna Bianca",0
398,0000000022013091120140611,0002297462013091120140611,Bettini "Madonna Bianca",0
398,0000000022013091120140611,0002297472013091120140611,Bettini "Madonna Bianca",0
398,0000000022013091120140611,0002297482013091120140611,Bettini "Madonna Bianca",0
398,0000000022013091120140611,0002297492013091120140611,Bettini "Madonna Bianca",0
398,0000000022013091120140611,0002297502013091120140611,Bettini "Madonna Bianca",0
398,0000000022013091120140611,0002297512013091120140611,Bettini "Madonna Bianca",0
398,0000000022013091120140611,0002297522013091120140611,Bettini "Madonna Bianca",0
398,0000000022013091120140611,0002297532013091120140611,Bettini "Madonna Bianca",0
